,Kotor,Comments,Author
79,1,bank erickolim gimana rasa nya coli pertama abank dan kpn,Tlarap ijo
80,1,bank erickolim gimana rasa nya coli pertama abank dan kpn,Tlarap ijo
81,0,bang lu bikin collab sama kimi hime pasti viewrs nya banyak,limv h
82,0,"bang gua haterslu




biar lo makin kaya",GamerMales ID
83,1,ngakak anjeng v,Steven bae
84,0,plis lah ya,Randika r
85,0,bodo amat hater gpp kan klo gw sub ama like setiap vid lu,Ghifari Gaming
86,1,hussssshhhhh bau memekklo gw sub ama like setiap vid lu,MUSIC VIDEO
87,0,dari pada ngehate orang kan nambah dosa mending lo main game aja udah,HITMAGIC INDO
88,0,bang rick lu teriak ngomong kotor gk kedengeran ama yg ruang sebelah,yulianti Clarity
89,0,"klo gak suka gak usah nonton tp mereka yg gak suka masih nonton 

adsensse lu ngalir nying

tulisannya bener kagak sih adsensse y",Rabbani Alfarisi
90,1,"haha anjing emang nonton tp mereka yg gak suka masih nonton 

adsensse lu ngalir nying

tulisannya bener kagak sih adsensse y",Ayudk 87_
91,0,"haters uangng nonton tp mereka yg gak suka masih nonton 

adsensse lu ngalir nying

tulisannya bener kagak sih adsensse y",BAYU AF
92,0,mantap bang gua nonton ini dri masa depan,semua milik kita
93,0,liat dimenit sampai,Lirik Lagu Indonesia
94,1,rik emut kontol gua pliss,Kirito kun Gaming
95,0,demi apa gw kesini karna sg nya obby sebelumnya g prnh wkwkwk,Nina Syna
96,0,haters cuma berani di coment pas ketemu paling selfe,campuran Canzis
97,0,v,NFG Official
98,1,"ngakak wkwk jadi org jgn baperan lah wkwk namany jg channel hiburan se lu ngalir nying

tulisannya bener kagak sih adsensse y",Bani Ilham
99,1,heters itu g punya otak tolollllll otak nya di kontol tolol heters paling bocah semua memek,ChikoChan 213
100,0,"haters adalahhhhh
sebuah makhluk hidup semacam kecebong tak bisa membuat karya dan hanya membully karya orang lain yang terkenal dan menjelek jelekan seperti tong kosong nyaring bunyinya",DGmrcaption77 gaming
101,0,maksudnya apaan,Helle R
102,0,wkwk,DIS GATORS
103,0,komen lu aja kyk bocah,Helle R
104,0,yutuber sama subscriber comentator toxic semua semoga kalian dapat hidayah dan dapet balesan yang setimpal aammiin,OP terdahsyat
105,1,hater emang gtu sok gak suka tapi kepo anjing,Two brother Gaming
106,0,wkwkwkwk,Bencikaca Vidgram
107,0,itu lo tau kalo di konten lo ada yg ngk patut di tayangkan emang benar itu semua tergantung orangnya untuk bisa memfilter mana yg salah mana yg bener tapi apasalahnya gitu membuat konten yang baikbaik aja boong kalo lo ngk ngerasa itu suatu hal yg salah dan sebagai creator yg punya subscribe banyak itu udah tangung jawab lo memberikan konten yg setidaknya ada manfaatnyala bagi subscriber lo emang gue tau duit itu godaan banget tapi pliss jangan mikirin diri sendiri aja bro,aprilia atika
108,1,bacot ngentot,Abang Islah
109,0,erick x kimi hime,Berlian Aja
110,1,ngakak asu v,SaitamaN Music
111,0,gila bnyk haters,Saber clon
112,1,kok memek ngilu,RzGaming Yt
113,1,erickontol panutanquee,Angga Suckerzz
114,0,setuju kakak guanteng,Angel Santoso
115,0,ericko mahh imut and ganteng bangettt,Fujisaki Ichigo
116,1,goblok lu kira tuh org ericko lim gampanng apa dapet subs apa lu aja yg iri v,Sky! Chennel
117,0,seru,Abil Fida
118,0,sabar ric nanggepin haters ma v,Galang rakha
119,0,awokawok,IMMORTAL HEROIC
121,0,ketemu ericko lim minta foto juga wkwk,Arianator
122,1,gua akui kegantengan lu khentot,Rahma Shabilla
123,1,kontol lu rik,ilegal racer
124,1,kimi hime nonton v lu khentot,Mana Itu
125,0,sabar rik,okan christiano
126,1,ngakak anjrit guaa,Surya Pratama
127,1,mohon bersabar ini ujian ntot,Dhizs Gaming
128,1,ngajieun konten ewean kagok taiiiwk,Dede Yusuf
129,1,tai kudaa sia,Dede Yusuf
130,1,kimi hime sangee,Dede Yusuf
131,0,mantull,Adrian Syahmariz
132,1,anjingggggg,Love Nawal
133,1,ngejulur aja mulut lo anjinggg kayak anjing aja kontol lebih mirip anjing ngjulur lidah taikkkkk,Love Nawal
134,1,anjinggggg bau analog anjingggg,Marcell Hero
135,1,awal nya gw sub terus gw unsub trus waktu gw lagi pusing dengan masalah gw di real gw coba buka video lucu di yt dan ketemu lagi ama ni channel anjinx gw nonton gw malah ketawa kek orang gila mayan utk ngilangin stress dengan tingkah dan kegilaan ni anjinx thanks dah pokoknya auto sub n like dri gw,awak_ gon
136,1,bang kalau ada haters di balas gini lo bngsd gua tampol lu,Galon Gamer
137,1,bang diemin aja para haters kontol itu nanti juga capek sendiri,Anar Gya
138,0,teruntuk kalian para haters tonton video ini,Andrey K W
139,1,eh bg buat konten kocak lah biar ngakak nantonya pek sendiri,V
140,0,bang bkinin yg part ii dong bang,mhuchlizt jr.
141,1,kalo muka erik kaya kontol gue setuju so erik niat ngehibur anjing sesimple itu tapi pikiran lo low nonton kemana anjing jadi lo haters erik and erik sama muka kontol,ROOTS ANIMATE
142,1,kontolmu cilik,Hilih Kintil
143,0,bang kapan buat musik baru yg keren,Adil Pratama
144,0,yg ngehate lu pada munafik rik pdhal smuanya karna iri gabisa jdi jelek kyk lu,Melvin Marbun
145,0,syalom mas erick,REY ROY
146,1,lagian apa guna nya hater begooo haters memek,Tegar Rizman
147,1,erickontol,chanell pendidikan
148,0,haters sumber uang mantep rik,Azriel Golay
149,1,dasar haters  banyak bacot ga bisa apa aarna iri gabisa jdi jelek kyk lu,Ivander Lael
150,1,anjir ngakak banyak bacot ga bisa apa aarna iri gabisa jdi jelek kyk lu,Shifa Layla
151,0,rik gw request makanan yng gak berfaedah  aarna iri gabisa jdi jelek kyk lu,raka acl
152,1,makan jembut lagi dong,Andriy M
153,1,anjing ni orang,kapten adeung
154,0,ga urusan erick banyak haters gua bakal jadi fans setia lu bang,BADBADASS TV
155,1,bachott eek anak anjing,Komang Widya Putra
156,1,yang bilang eriko lim itu orang tolol berarti dia juga tolaol lu juga belum tentu pinter heters ngentot,Hasbi As shidiqi
157,0,part ditunggu,Fajar Ramadhan
158,1,"kenapa mem k bisa ngilu 
hwhwhwh",RiiEZ Liet
159,1,saya suka konten yang kak lim uploadberarti dia juga tolaol lu juga belum tentu pinter heters ngentot,daz gaming
160,1,f cking stupid boy,Suzanne Fanny
161,1,"bang ericko agamanya pa y aaa 

lmao",Mahardika Persada
162,0,bang coba lo bikin flog masuk greja,novita oroh
163,1,anjing kontol gue dukung lu eriko,Mega Ariesta
164,1,membaca komen nya orang goblok ternyata seru juga v,Abyan Daffa
165,1,gw cuman nonton lu bukan subs and like lu kntl,Ahmad Zidan
166,0,erik ganteng kok kalo diliat dari jauh,Ahmad Zidan
167,0,gua gak suka lu lu perusak generasi bangsa woy ngomong kotor gak sopan sebab itu youtuber kesukaan gua miawaug ama jessnolimit,Auryn Nugraha
168,0,"apa itu fans tertunda 
gue kenal u juga gk 
ngapain gue kenal u
u gk kenal gue anjir",Ryodan gird squad
169,0,fans yang tertunda kyk pernah denger dari skinnyfabs wkwkw,Jason AJA
170,1,yee tolo kalean udah tau ga berfaedah masih ditonton aja,Nurunaru 225
171,0,makin scroll comment makin banyak yg sok suci v,Adam Ridiansyah
173,0,woiii collab sama arap,Veronique La Bella
174,0,bang,Veronique La Bella
175,0,plis collab sama arap,Veronique La Bella
176,0,bang collab sama rap bang ih,Veronique La Bella
177,0,bang collab sama arap bang,Veronique La Bella
178,0,yang sabar bang,rasya45gaming lol
179,0,soapers bang,D15ylan Raiza
180,1,"bodoamat njinggg sama eriko tapi lebih bodo para heter lu njingg 


anjing pokoknya lu yg dibully ending nya orang lain yg cringe 

keepstrong njinggg erikolim",FAKEcana 13
181,0,ngakak bang liat ini,Alvin Rezasaputra
182,0,wkwkwkwk i love you ericko lim,Gema Samudra Habil Febrian
183,0,"nyesel gua nontonin ni video menit 







 gaada adegan ngentot nya ternyata",Bukan Putra
184,0,"liat konten yang terlalu normal jg kadang membosankan jdi ya kadang tujuan mampir ke konten yg unnormal kek gni ya jg salah satu asupan hiburan prinsip dan cara orang beda buat ngibur viewers nya dan mungkin ya kek gnilah cara si erick buat ngibur lo pada 
itu semua balik lg ke diri lo sendiri masing resiko lo kalo emg blm ckup dewasa buat bedain mna sisi baik atau sisi positif dari konten dia yg bisa lo cerna mending ga usah ditonton daripada lo cm bs nilai konten dia dr sisi negatifnya buang waktu menit lu yang pdhal bs diabisin buat ntonin konten lain dll dan buang tenaga jari liar lu buat ngehujat dia dan apa untungnya juga buat lu wkkk malah dia yg untung lu yang buntung v",Aisyah Ninditha
185,0,lim lu kalo ngomong nyelon baru bagus,Aditya Romadhoni
186,0,"gw mah sub lu cuma buat nonton video lu doang 
lu mau di bully atau di puja puja gw gak peduli 
yang penting gw mah nonton video lu doang",ReKaLion Al-tair
187,0,lanjut aja buat konten unfaedah gua seneng kok lihat itu v,Dolar teguh
188,0,chanel motivasi keluarga,Syahrul Syarif
189,0,mantap kali bang,REY ROY
190,1,awokwo tai kucing manis d,Safei_ Khocoy
191,0,keren hahha keren wow,fathul mrd
192,0,"itu yang bilang g mutu bokep di youtube aja ada dan laris lu diem aja 
wkwkwkwk maksud lo bokep berfaedah dan bermutu",Yfn Walker
193,1,wkwkwkw anjg ngakak w ma komenan haters nya v,Yfn Walker
194,1,ajg fans yg tertundaan apaan ajg najis,Beat Fi
195,1,"chanel peler kesayangan yuhuuu erkontolim 
soaploverss mana suaranya",Last KING
196,1,gw suka kontes lu gara lucu rik santai aja yg haters itu pd bocah ngentod smua,Diaz Baru
197,1,eh erikontol video lu keren cuk ntai aja yg haters itu pd bocah ngentod smua,MADDOG DMAN
198,1,ngakak mulu gw kali liat video ini aja yg haters itu pd bocah ngentod smua,SKATE PUNK99
199,1,bener bang elu elu itu udah has sama omong jorok lu  bocah ngentod smua,nur hikmah dwi lestari hikmah
200,0,keren bang,Arga Achmad
201,0,"asal kalian tau banyak youtuber temennya erick bilang kalo erick itu aslinya baik 
so jangan ngejugde orang dari luar doang kontol",Benny pakarti
202,0,biasalah normy kan otaknya dangkal akowkowkwow,sultan -fajaru
203,0,klo ga suka ga usah nonton semudah itu anj nggg,Figar Alif
204,1,mautaunamasaya cariajasendiri gua gak peduli lagi ama dia biarin aja kominfo tau youtube diblokir lama lama bnyk yg laporin ntol,Auryn Nugraha
205,1,dia cuma menghibur kontol lo ga suka ga usah mampir kesini goblok save erikontolim,Mautaunamasaya Cariajasendiri
206,1,mantap bang gua suka gaya luu tetep stay cool aja bangni goblok save erikontolim,komang arnawaaa
207,0,that s why i subs you rick,Dendy Sakti Anugerah
208,0,gw dukung lu kok bang sans ajh ngadepin haters stres kek mreka,Nata _
209,0,banting semua haters bang h ngadepin haters stres kek mreka,Vicocchi Seijuro
210,0,gua setuju lu ganteng,Cooper Brand
211,1,tuh bang erik tuh cuma mau bikin lu asik gituuu goblok lo hatters,Yafie Zain
212,0,"gua dukung luh rik terus berkarya yg loh bisa 
biarin heters ngomong apah anggap aja heters ituh anak setan anak dajal tai anjing",Anwar Bjkfals
213,0,bang unbox iron man mark bang,ARYA tokusatsu
214,0,haters tapi pasti lagi nonton video ini,IqxandGamer
215,0,bagian akir video gw setuju gw subs channel lu lu main franco lagi saingan skill hook sama wolf xotik,Ian krisna
216,0,bang colab sama corygore  gw subs channel lu lu main franco lagi saingan skill hook sama wolf xotik,althaf sheva
217,0,y,JAJANAN WAR03NG
218,1,cintai kont l mu nonton kimi tiap hari,Ipang-sweets Ipang-smity
219,0,mantap  l mu nonton kimi tiap hari,Bakti Zurishadai
220,1,bacot buncit,Ferdi Maulana
221,1,wkwkwk,Rez4 4pr1l14No
222,0,"gue dukung lo rick 





anjing lo",cristopher juanvernado minecraft
223,1,intinya lu sampah ngera anjing lu kontol,paokGaming Channel
224,0,"gue cuma mo ngomong 

kalo lu itu 
hm

lo itu 

lo itu orang goblok 
yang pernah ada 



udah gitu aja

salam shoapers",Bobcill Yk
225,1,"memek ngilu anjing

kalo lu itu 
hm

lo itu 

lo itu orang goblok 
yang pernah ada 



udah gitu aja

salam shoapers",Rangga Ryan
226,1,gua suka sama lu karena lu ngeres kyk gua haha suka bilang memek kontol dan sebagainya,Rikaf 255
227,1,mantapu karena lu ngeres kyk gua haha suka bilang memek kontol dan sebagainya,Firdaus Kediri
228,0,bang sensor yg jorok nya donkkkkk,Calista Angelina
231,1,taek haters,DRM GAMING
232,0,bang masukin komenan gua ke you tube lu wkwkwk,Mhmd Taufik R
233,0,heeh cing sabar w,Mhmd Taufik R
234,0,v,R E I N A
235,0,ributin yuu haters rick di ajak ketemu kicep haters jaman sekarang lemah,Deni Oktavian Aditama
236,0,bang muka lu ganteng gua ajak ketemu kicep haters jaman sekarang lemah,meilan chanaya
237,0,lebih lucuan hate komen ketimbang kinten lu rick v,MUNKY
238,1,konten lu ngikutin filthyfrank anjing,david atmadja
239,0,ngomong di coment bisa kalo mau ngomong depanya jadi haters tuh harus berani masa ngomong dicoment,Driyan Ahyar Prasaja
240,0,suka bngt,Amin Abbas
241,0,lcu,Amin Abbas
242,0,ya bener lah buat video harus mendidik karena yg nonton itu pada di bawah umur anak kecil kids kodomo you know,Ahmadkardian Suryana
243,0,comment hatter membuat lebih baik tapi kapan,Ahmadkardian Suryana
244,1,erickontol gua jadi subs lo gara gara video ini gila ngentot lain kali makan jembut pacar lu ya njing,100 Subscribes with no videos Please
245,1,anjingg erick gila pro bgt bikin org ngakak v,David Wijaya
246,0,be patient bb,Cindy Morris
247,0,hii kimi hime,Irfandi Maulana
248,1,mereka gak menghina kamu ka tapi ngomong nya aja  di jaga Kin kali makan jembut pacar lu ya njing,Jeremia Axl
249,1,eriko my inspirasi gokiltapi ngomong nya aja  di jaga Kin kali makan jembut pacar lu ya njing,Lian Pratama
250,1,hatersnya mulutnya pedis  yg sabar yaa dan terus semangat beryoutube  jembut pacar lu ya njing,Fernando Sibit
251,0,"channel gaguna 
this is channel pendidikan v",Uvuvwevwevweonyetenwevwe Ubwemubwem-osas
252,0,berbau gore wkwk,Tjrks Coffeerock
253,0,jangan kemakan omongan orang bang tetep berkarya bang walaupun konteng lu toxic tapi disitu gw ketawa ngakak dimana gw lagi kesel gw buka channel lu langsung ketawa ngakak gara toxic lu bang,Angga Dwi Primantara
254,1,chenel lo itu gkada manfaatnya kontol,Alexander Dustin
255,0,gue sebagai hatters yg komen terus di setiap videonya kok gk di bacain di video ini,Dikashandika
256,1,sabar ya njink,Irland OR
257,0,mending ngopi,Asya skater
258,0,"kadal kegencet 

wkwkwkwkw",Putra Bayu
259,0,apa cuma gua yg disini kalok nontn chanelnya eric harus pakek henset biar gk kedengeran org yg di dekat gua wkwkk gw lagi kesel gw buka channel lu langsung ketawa ngakak gara toxic lu bang,ANDRA DPA
260,0,gua udah subscribe bang menurut gua soapking is the best,Andi Subondo
261,1,eric kontol yeah i don t care about that but ha ha it s so funny biar gk kedengeran org yg di dekat gua wkwkk gw lagi kesel gw buka channel lu langsung ketawa ngakak gara toxic lu bang,EA electronic art
262,0,bang tobat yuk,Daffa Ganteng
263,0,buat vidio b k p auto bersatu haters,Calvin Karna Calvin
264,0,haters ngebuat vidio pasti di haters lagi sama temannya nya haters,Calvin Karna Calvin
265,0,arap aja tatoan,Lucky Kurniawan
266,1,kalo gak suka jangan tonton anjing susah amat tolol emang netizen indonesia just for fun video bang erick ahhh kontol netizen indonesia pasti jomblo abadi yang haters ericko,I'mFanny
267,0,terus berkreasi rick walau banyak hetersnya v,Rifai Jan
268,1,wkwkwk ngakak anjirrr v,Ella Juwita
269,1,lu bikin konten bokep gabakal ada haters bang,RizalAF Channel
270,1,hmmmm bau mmq v,Naa IX
271,0,iye uya kuya,Jason Lambert
272,0,kirim diamod kak,Anggita Anggraeni
273,1,ericolim ky kontol matiin aj sek mak km,Ahcmad Eryan
274,1,erickontol jembud,Biima *
275,0,gud v,Mr Fox
276,1,gausah di perduliin bang anji k mmng haterss fuck,Dani MV
277,1,fakta nya eric lebih bisa bergaul dan deket sama orang dan grup sebelah mana lebih deket sama orang gak nyatanya kehilangan temen wkwkwk fuck,Fajar ardianto
278,0,hai erpan,Sharif Hashim
279,1,gua baru sadar soapers itu para pengguna sabun hahahahahahahah coli terus sampe abis,Pras Syafna
280,1,video lama yg belum di upload terus baru di upload anjirr,DashKid
281,1,coba bikin video lu ngentot sama ody peler lu kan kecil,Paijo Tok
282,0,bang kapan sehat,Rizki Riyanto
283,1,yang haters erico fuck fuck fuck,illaty maz
284,1,babi aer haters,alex no limit
285,0,i love you jess no limit,Alvin Oei
286,1,budek kuping gw ajg,Shioru
287,1,ect ericontol,Ju Bet
288,1,kontol daki lo tuh urus woi,Tedy Sofyan
289,1,ntol daki lo tuh urus woi,AR 28
290,0,jangan nilai orang karna luarnya aja belum tentu kita lebih baik dari dia,Ahmad Fahrizal
291,1,erickontollim,THREEINSOMNIAC
292,1,erickontollim,THREEINSOMNIAC
293,1,jancokk  wkwkwkg karna luarnya aja belum tentu kita lebih baik dari dia,ENDY TRAVEL
294,0,udah kebal terhadap hater erickontoruuuu,kotohana san
295,0,hatersnya lucu lucu pada gaje semua hahahahaha ohh iya lo ganteng rick,WiseCat
296,0,woiii haters sekalian coba kalian jangan ngechat yang tidak baik,YT CP Official
297,0,qw pngin beli baju shoapking a lel gmna cra beli a lel,Gas Njeblug123
298,1,ngakak bgsd v,Fatkhan Akhmad
299,1,hahaahahangakak gua jing good vid cra beli a lel,Jenny Tan
300,0,"kenapa gw suka lu karna gw suka cara lu nanggepin para haters 

sukses terus rick 

anti skip skip club",Rivaldy Gunawan
301,1,"mo ngehate tapi mo nonton
haters anjink toloo",LIQUID DASH
302,1,erikontol terjebud love you lah njink loo,Bew wox
303,1,cari content tuh bukan makan jembut kontol,Areo Gaming
304,1,menit gua terbuang anjink,aih mana ada
305,0,niat amat comen ngehina panjang lebar l,yohanda malik
306,1,muka loh kaya sampah anjing goblok tai nangsat babi,Anwar Bjkfals
307,1,jaman sekarang anak masih bau seperma ajah udah nonton bokep goblok udh hilang aturan gituan anjing,Anwar Bjkfals
308,1,tereein kontolic,alfa gaming
309,1,panutan  btw ka eric ganteng erma ajah udah nonton bokep goblok udh hilang aturan gituan anjing,Nanda Laoma
310,1,semakin lu pada ngina dia semakin bnyak lagi uangnya bokep goblok udh hilang aturan gituan anjing,Bima Kacili
311,1,sumpah rikmukalokayakontolkejepitdanlojangansoksuci kerenmasihneteaja,mardianto tanjung
312,1,hili kintil,HEROZIN 100
313,0,mending uang nya buat gua v buat paketan paketan w sekarat neehh v,Anonymous ID
314,0,hai bang erickolim hime hime,Steven Tv
315,0,gudd bang rick gua belain lo bg rik,Dash Prabowo
316,1,mana nihh yang ngehate gua cari di komen kaga ada anjinggg,rio mahendra
317,0,sok suci,Gavin Erol
318,1,erick kolim kaya tai,Gavin Erol
319,0,gw ga suka sam si erick tapi ngakak anjir v,Puja Godhil
320,1,sumpah ngakak  lanjutkan eric mantr v,Arya Pamungkas
321,0,gue dukung lo erikkontolim,Gile lu Anjay
322,0,saran w bahasa lo klo bisa di jaga karena bahasa lo ga mendidik bgt coba lo bikin conten yg positif tks,Ryan Frayogi
323,0,semangat terus bang lupain haters yg g guna anggep aja itu cuma angin lewat in conten yg positif tks,anak mama
324,0,njir ngukuk gw konten lu bang parah tapi gw paling terharu pas liat closing lu tdi kata nya itu loh   kehilangan temen wkwkwk fuck,Saputra Rizki
325,0,"ok kak eriko makan jembut sekali lagi dong 
ku dukung biar tambah semangat semangat 
nya itu loh   kehilangan temen wkwkwk fuck",Asmo Ismanto
